block,blockHash,timestamp,chainlink,aave,eth1,eth10,eth100,weth1,weth10,weth100
23550035,0x6800d8b533e34f802056dbf34a39b7646b5f7f47fe265441da96a3440d063911,2025-10-10T21:33:35Z,3733.4683736038337,3658.1098786389302,3448.995537,3415.0748101,3383.68918357,3402.340923,3378.0508814,3362.92995656
23550038,0x54f017a6d21e71ec2c6418efa471df30f726a1c4afbcc9be9d1e5d40a9c2ca55,2025-10-10T21:34:11Z,3733.4683736038337,3658.1098786389302,3440.300701,3403.5098541,3371.05507437,3421.649108,3407.7346748,3393.76869586
23550041,0x4f5756cedbed7c705b5be457770825260d44a41ce51cf4330cb6665819b9c4c7,2025-10-10T21:34:47Z,3733.4683736038337,3658.1098786389302,3430.201537,3384.1166248,3364.42812895,3407.978144,3387.4465736,3374.12894556
23550044,0x2742795d478dfa176d81f5595fe2a49f658f23fcf85ce7886ead8c83c7816d01,2025-10-10T21:35:23Z,3765.112533736566,3718.7543190243073,3425.815417,3378.6975208,3362.2345431,3420.091875,3401.8727923,3372.35264328
23550047,0x0529acfb881cd619b21b67f1dcdf5fa38fd430eebf900bad86bf4514ba2d60d3,2025-10-10T21:35:59Z,3765.112533736566,3760.803074416155,3447.081498,3418.4117835,3404.49346814,3431.667706,3420.5487378,3406.85346433
23550050,0xf949f80d941210e834c0e0fdbee7c521eb7e45b3d4ad8ee94f73d71bd5bd8d7a,2025-10-10T21:36:35Z,3765.112533736566,3760.803074416155,3452.209098,3419.6619307,3390.13181983,3421.864621,3406.7112739,3390.45388342
23550053,0x2cd71716b88df1df1f7b5cafa0e9f21ecdb58a47b9ab7cb244db0c2d5a6f56ce,2025-10-10T21:37:11Z,3753.530161658131,3760.803074416155,3441.034857,3404.6341734,3385.94350432,3426.399896,3408.928584,3389.99331805
23550056,0x586cad7573423a0ba640031639a7a80da903c76f920a96493b20345275c921ca,2025-10-10T21:37:47Z,3753.530161658131,3725.058298692334,3719.037004,3714.5223329,3670.40313852,3715.823179,3705.8121031,3634.81286475
23550059,0x705937e7284caefd14813565357cc8e751e758544082cb1dd191f036c820cda8,2025-10-10T21:38:23Z,3753.530161658131,3725.058298692334,3487.837976,3466.9317423,3444.15829249,3531.739219,3492.4555116,3459.0643638
23550062,0x356b27fb45869698339d47e67df81f16e83614005250eecfa440e22f846e692a,2025-10-10T21:38:59Z,3706.320145049031,3725.058298692334,3663.54055,3532.3684393,3455.07876794,3531.739219,3495.4238223,3458.90913589
23550065,0x0e4e28e6891e3def3faf424d0229fd411fcb3f70a0add36290d8ead30bd0a627,2025-10-10T21:39:35Z,3706.320145049031,3725.058298692334,3680.171914,3544.6363487,3456.74248408,3531.739219,3515.7463989,3489.62758607
23550068,0xbc771e4a4cbac8b17d5bdafc8d8cb663daf356b60733a9631fb61fb9a298bdc1,2025-10-10T21:40:11Z,3706.320145049031,3736.2511784475864,3508.069043,3501.573523,3476.50485932,3531.739219,3511.280303,3484.17118189
23550071,0xc62339ee9849fcf720da0c97b12bd98d4308cfc8691989092ac87ccded9f53da,2025-10-10T21:40:47Z,3706.320145049031,3713.8918155497804,3509.643502,3503.9152771,3498.32826147,3539.831106,3524.1275406,3494.77798411
23550074,0x2d6426b1567fddea2a6ec0bbe791a7d15b581ac658e2860f9bd8d14b5c125e19,2025-10-10T21:41:23Z,3706.320145049031,3713.8918155497804,3687.786626,3556.6020898,3483.26400327,3541.593473,3527.3716901,3501.21247324
23550077,0x134d000ce7bd3baf281706ffb3cd39602890326b2ef73d90fee3180697ab2d1f,2025-10-10T21:41:59Z,3706.320145049031,3713.8918155497804,3512.228261,3504.7171834,3499.36660468,3531.652283,3506.3826369,3483.44622931
23550080,0x7a4ce41c76b7a8721997378d238d32ef35f9b7a229507a6605593e310972b5a2,2025-10-10T21:42:35Z,3716.700811578443,3713.8918155497804,3510.174499,3504.578942,3501.39889918,3523.894331,3511.8369278,3486.39246276
23550083,0x1b53973fe7e2fa30b47a0860fc9f7081c35ae59988787eaf695b200003890ce8,2025-10-10T21:43:11Z,3738.1145929130707,3713.8918155497804,3697.717623,3573.5937312,3507.89165814,3562.654848,3551.4769883,3515.29529129
23550086,0x6047edcb55e32fe0494bf5742e7a8f25a659298821475bebecc654b97d292f5f,2025-10-10T21:43:47Z,3738.1145929130707,3713.8918155497804,3583.678756,3522.3232521,3505.08056139,3546.323176,3538.771633,3516.04954321
23550089,0xdd0b133f1db7f9f1bad2920ab9bbc897f1483b5a978a4a62a9a4b75e33a01c6b,2025-10-10T21:44:23Z,3738.1145929130707,3734.57658534302,3550.572356,3548.787816,3537.29859886,3553.906464,3551.0166541,3528.8082862
23550092,0xbcffdcdb22b16eee63415086ba6f6c0d07ddb9cef3b4a9e0b8a314547f51144c,2025-10-10T21:44:59Z,3802.2334362347024,3734.57658534302,3550.788252,3548.8957656,3534.98800836,3572.688591,3568.1163295,3541.50888236
23550095,0x946c00be07060468c9d9dd59e3663f5b5f90b58e0c874ba30f60978203aa39e7,2025-10-10T21:45:35Z,3802.2334362347024,3734.57658534302,3584.313667,3582.933487,3569.7108384,3633.533672,3629.1188837,3596.01058682
23550098,0xd6c67ba1f3a755a0c952f53c30c2092c3d2df00e46ab19e67fd8ab9cddf06b53,2025-10-10T21:46:11Z,3802.2334362347024,3803.4019563473585,3584.122883,3582.7023828,3570.33475263,3606.772575,3593.0165423,3571.17302513
23550101,0x3d6003dca3caed97a70169a83309d8271b8be22b1185b3275f01fedbd77bbf2f,2025-10-10T21:46:47Z,3802.2334362347024,3803.4019563473585,3592.441435,3587.8611764,3573.77415486,3595.113959,3584.7112018,3570.79712631
23550104,0x87b304c734336fe57e220a92f296a7083667ee01ff43fc31a98e0c437286bc76,2025-10-10T21:47:23Z,3868.076842600323,3831.39684245072,3611.301699,3609.7224961,3596.45926415,3617.88676,3612.4537948,3594.30555387
23550107,0x3ecdba05e4dcd132a1a34fa3ab30b778689d61092bcf2cf49073a8518591795c,2025-10-10T21:47:59Z,3868.076842600323,3869.0759989986054,3619.569925,3613.3057005,3598.43459393,3819.569461,3800.7683992,3693.11024268
23550110,0x603ca80aad403f6e86e65463aba11f15e621c5e6f66402b486bae633aec5b0fb,2025-10-10T21:48:35Z,3824.787040103116,3869.0759989986054,3680.332336,3672.0864073,3632.43517505,3788.169896,3772.9834866,3666.8582478
23550113,0x10192b9a5328aca3255f0f44f5b77cafd7d3e5fc3127a0c9fbdae5951d4fbad5,2025-10-10T21:49:11Z,3824.787040103116,3869.0759989986054,3634.704514,3633.5333663,3622.11699236,3798.946767,3787.2964753,3681.03529864
